DATE,DAY,MONTH,YEAR,PRCP,SNOW,TMAX,TMIN
2000-01-01,1,1,2000,0,0,44,23
2000-01-02,2,1,2000,0,0,52,23
2000-01-03,3,1,2000,0.01,0,60,35
2000-01-04,4,1,2000,0.12,0,62,54
2000-01-05,5,1,2000,0.04,0,60,30
2000-01-06,6,1,2000,0,0,32,20
2000-01-07,7,1,2000,0,0,41,22
2000-01-08,8,1,2000,0,0,41,26
2000-01-09,9,1,2000,0,0,39,25
2000-01-10,10,1,2000,0,0,47,35
2000-01-11,11,1,2000,0.26,0,46,37
2000-01-12,12,1,2000,0.07,0.2,46,31
2000-01-13,13,1,2000,0.01,0,40,31
2000-01-14,14,1,2000,0.05,0.2,34,10
2000-01-15,15,1,2000,0,0,23,10
2000-01-16,16,1,2000,0,0,32,14
2000-01-17,17,1,2000,0,0,47,5
2000-01-18,18,1,2000,0,0,16,5
2000-01-19,19,1,2000,0.01,0.1,24,5
2000-01-20,20,1,2000,0.18,2,31,24
2000-01-21,21,1,2000,0.14,2.3,28,8
2000-01-22,22,1,2000,0.02,0.6,14,6
2000-01-23,23,1,2000,0.02,0.2,20,4
2000-01-24,24,1,2000,0,0,24,17
2000-01-25,25,1,2000,0,0,34,17
2000-01-26,26,1,2000,0.21,3.8,22,18
2000-01-27,27,1,2000,0,0,27,6
2000-01-28,28,1,2000,0.01,0.2,17,7
2000-01-29,29,1,2000,0,0,26,7
2000-01-30,30,1,2000,0,0.1,32,3
2000-01-31,31,1,2000,0.3,3.6,30,20
2000-02-01,1,2,2000,0,0.1,29,21
2000-02-02,2,2,2000,0,0,29,17
2000-02-03,3,2,2000,0,0,26,14
2000-02-04,4,2,2000,0.07,0.7,32,22
2000-02-05,5,2,2000,0.07,0.7,36,18
2000-02-06,6,2,2000,0,0,31,17
2000-02-07,7,2,2000,0,0,35,24
2000-02-08,8,2,2000,0,0,36,10
2000-02-09,9,2,2000,0,0,33,7
2000-02-10,10,2,2000,0,0,52,16
2000-02-11,11,2,2000,0.01,0,50,32
2000-02-12,12,2,2000,0,0,46,17
2000-02-13,13,2,2000,0,0,31,17
2000-02-14,14,2,2000,1.12,0.6,32,22
2000-02-15,15,2,2000,0.11,0,39,25
2000-02-16,16,2,2000,0.01,0,36,25
2000-02-17,17,2,2000,0,0,51,21
2000-02-18,18,2,2000,0.08,0.8,35,21
2000-02-19,19,2,2000,0.63,2,33,25
2000-02-20,20,2,2000,0,0,34,26
2000-02-21,21,2,2000,0,0,35,26
2000-02-22,22,2,2000,0,0,43,26
2000-02-23,23,2,2000,0,0,53,27
2000-02-24,24,2,2000,0,0,55,37
2000-02-25,25,2,2000,0.16,0,67,37
2000-02-26,26,2,2000,0,0,69,42
2000-02-27,27,2,2000,0,0,47,42
2000-02-28,28,2,2000,0.61,0,57,37
2000-02-29,29,2,2000,0,0,49,27
2000-03-01,1,3,2000,0,0,56,27
2000-03-02,2,3,2000,0.2,0,50,33
2000-03-03,3,3,2000,0,0,37,28
2000-03-04,4,3,2000,0,0,47,26
2000-03-05,5,3,2000,0,0,54,27
2000-03-06,6,3,2000,0,0,56,31
2000-03-07,7,3,2000,0,0,57,30
2000-03-08,8,3,2000,0,0,73,31
2000-03-09,9,3,2000,0,0,78,51
2000-03-10,10,3,2000,0.01,0,74,43
2000-03-11,11,3,2000,0,0,47,33
2000-03-12,12,3,2000,0.52,0,43,35
2000-03-13,13,3,2000,0,0,37,25
