DATE,DAY,MONTH,YEAR,PRCP,SNOW,TMAX,TMIN,WT_FOG,WT_THUNDER,WT_SLEET,WT_HAIL,WT_GLAZE,WT_HIGHWINDS
1/1/2000,1,1,2000,0.0,0.0,44.0,23,0.0,0.0,0.0,0.0,0.0,0.0
1/2/2000,2,1,2000,0.0,0.0,52.0,23,0.0,0.0,0.0,0.0,0.0,0.0
1/3/2000,3,1,2000,0.01,0.0,60.0,35,0.0,0.0,0.0,0.0,0.0,0.0
1/4/2000,4,1,2000,0.12,0.0,62.0,54,0.0,0.0,0.0,0.0,0.0,0.0
1/5/2000,5,1,2000,0.04,0.0,60.0,30,0.0,0.0,0.0,0.0,0.0,0.0
1/6/2000,6,1,2000,0.0,0.0,32.0,20,0.0,0.0,0.0,0.0,0.0,0.0
1/7/2000,7,1,2000,0.0,0.0,41.0,22,0.0,0.0,0.0,0.0,0.0,0.0
1/8/2000,8,1,2000,0.0,0.0,41.0,26,0.0,0.0,0.0,0.0,0.0,0.0
1/9/2000,9,1,2000,0.0,0.0,39.0,25,0.0,0.0,0.0,0.0,0.0,0.0
1/10/2000,10,1,2000,0.0,0.0,47.0,35,0.0,0.0,0.0,0.0,0.0,0.0
1/11/2000,11,1,2000,0.26,0.0,46.0,37,0.0,0.0,0.0,0.0,0.0,0.0
1/12/2000,12,1,2000,0.07,0.2,46.0,31,0.0,0.0,0.0,0.0,0.0,0.0
1/13/2000,13,1,2000,0.01,0.0,40.0,31,0.0,0.0,0.0,0.0,0.0,0.0
1/14/2000,14,1,2000,0.05,0.2,34.0,10,0.0,0.0,0.0,0.0,0.0,0.0
1/15/2000,15,1,2000,0.0,0.0,23.0,10,0.0,0.0,0.0,0.0,0.0,0.0
1/16/2000,16,1,2000,0.0,0.0,32.0,14,0.0,0.0,0.0,0.0,0.0,0.0
1/17/2000,17,1,2000,0.0,0.0,47.0,5,0.0,0.0,0.0,0.0,0.0,0.0
1/18/2000,18,1,2000,0.0,0.0,16.0,5,0.0,0.0,0.0,0.0,0.0,0.0
1/19/2000,19,1,2000,0.01,0.1,24.0,5,0.0,0.0,0.0,0.0,0.0,0.0
1/20/2000,20,1,2000,0.18,2.0,31.0,24,0.0,0.0,0.0,0.0,0.0,0.0
1/21/2000,21,1,2000,0.14,2.3,28.0,8,0.0,0.0,0.0,0.0,0.0,0.0
1/22/2000,22,1,2000,0.02,0.6,14.0,6,0.0,0.0,0.0,0.0,0.0,0.0
1/23/2000,23,1,2000,0.02,0.2,20.0,4,0.0,0.0,0.0,0.0,0.0,0.0
1/24/2000,24,1,2000,0.0,0.0,24.0,17,0.0,0.0,0.0,0.0,0.0,0.0
1/25/2000,25,1,2000,0.0,0.0,34.0,17,0.0,0.0,0.0,0.0,0.0,0.0
1/26/2000,26,1,2000,0.21,3.8,22.0,18,0.0,0.0,0.0,0.0,0.0,0.0
1/27/2000,27,1,2000,0.0,0.0,27.0,6,0.0,0.0,0.0,0.0,0.0,0.0
1/28/2000,28,1,2000,0.01,0.2,17.0,7,0.0,0.0,0.0,0.0,0.0,0.0
1/29/2000,29,1,2000,0.0,0.0,26.0,7,0.0,0.0,0.0,0.0,0.0,0.0
1/30/2000,30,1,2000,0.0,0.1,32.0,3,0.0,0.0,0.0,0.0,0.0,0.0
1/31/2000,31,1,2000,0.3,3.6,30.0,20,0.0,0.0,0.0,0.0,0.0,0.0
2/1/2000,1,2,2000,0.0,0.1,29.0,21,0.0,0.0,0.0,0.0,0.0,0.0
2/2/2000,2,2,2000,0.0,0.0,29.0,17,0.0,0.0,0.0,0.0,0.0,0.0
2/3/2000,3,2,2000,0.0,0.0,26.0,14,0.0,0.0,0.0,0.0,0.0,0.0
2/4/2000,4,2,2000,0.07,0.7,32.0,22,0.0,0.0,0.0,0.0,0.0,0.0
2/5/2000,5,2,2000,0.07,0.7,36.0,18,0.0,0.0,0.0,0.0,0.0,0.0
2/6/2000,6,2,2000,0.0,0.0,31.0,17,0.0,0.0,0.0,0.0,0.0,0.0
2/7/2000,7,2,2000,0.0,0.0,35.0,24,0.0,0.0,0.0,0.0,0.0,0.0
2/8/2000,8,2,2000,0.0,0.0,36.0,10,0.0,0.0,0.0,0.0,0.0,0.0
2/9/2000,9,2,2000,0.0,0.0,33.0,7,0.0,0.0,0.0,0.0,0.0,0.0
2/10/2000,10,2,2000,0.0,0.0,52.0,16,0.0,0.0,0.0,0.0,0.0,0.0
2/11/2000,11,2,2000,0.01,0.0,50.0,32,0.0,0.0,0.0,0.0,0.0,0.0
2/12/2000,12,2,2000,0.0,0.0,46.0,17,0.0,0.0,0.0,0.0,0.0,0.0
2/13/2000,13,2,2000,0.0,0.0,31.0,17,0.0,1.0,1.0,0.0,1.0,0.0
2/14/2000,14,2,2000,1.12,0.6,32.0,22,0.0,0.0,0.0,0.0,1.0,0.0
2/15/2000,15,2,2000,0.11,0.0,39.0,25,0.0,0.0,0.0,0.0,0.0,0.0
2/16/2000,16,2,2000,0.01,0.0,36.0,25,0.0,0.0,1.0,0.0,0.0,0.0
2/17/2000,17,2,2000,0.0,0.0,51.0,21,0.0,0.0,0.0,0.0,0.0,0.0
2/18/2000,18,2,2000,0.08,0.8,35.0,21,0.0,0.0,1.0,0.0,1.0,0.0
2/19/2000,19,2,2000,0.63,2.0,33.0,25,0.0,0.0,0.0,0.0,1.0,0.0
2/20/2000,20,2,2000,0.0,0.0,34.0,26,0.0,0.0,0.0,0.0,0.0,0.0
2/21/2000,21,2,2000,0.0,0.0,35.0,26,0.0,0.0,0.0,0.0,0.0,0.0
2/22/2000,22,2,2000,0.0,0.0,43.0,26,0.0,0.0,0.0,0.0,0.0,0.0
2/23/2000,23,2,2000,0.0,0.0,53.0,27,0.0,0.0,0.0,0.0,0.0,0.0
2/24/2000,24,2,2000,0.0,0.0,55.0,37,0.0,0.0,0.0,0.0,0.0,0.0
2/25/2000,25,2,2000,0.16,0.0,67.0,37,0.0,0.0,0.0,0.0,0.0,0.0
2/26/2000,26,2,2000,0.0,0.0,69.0,42,1.0,0.0,0.0,0.0,0.0,0.0
2/27/2000,27,2,2000,0.0,0.0,47.0,42,0.0,1.0,0.0,0.0,0.0,0.0
2/28/2000,28,2,2000,0.61,0.0,57.0,37,0.0,0.0,0.0,0.0,0.0,0.0
2/29/2000,29,2,2000,0.0,0.0,49.0,27,0.0,0.0,0.0,0.0,0.0,0.0
3/1/2000,1,3,2000,0.0,0.0,56.0,27,0.0,0.0,0.0,0.0,0.0,0.0
3/2/2000,2,3,2000,0.2,0.0,50.0,33,0.0,0.0,0.0,0.0,0.0,0.0
3/3/2000,3,3,2000,0.0,0.0,37.0,28,0.0,0.0,0.0,0.0,0.0,0.0
3/4/2000,4,3,2000,0.0,0.0,47.0,26,0.0,0.0,0.0,0.0,0.0,0.0
3/5/2000,5,3,2000,0.0,0.0,54.0,27,0.0,0.0,0.0,0.0,0.0,0.0
3/6/2000,6,3,2000,0.0,0.0,56.0,31,0.0,0.0,0.0,0.0,0.0,0.0
3/7/2000,7,3,2000,0.0,0.0,57.0,30,0.0,0.0,0.0,0.0,0.0,0.0
3/8/2000,8,3,2000,0.0,0.0,73.0,31,0.0,0.0,0.0,0.0,0.0,0.0
3/9/2000,9,3,2000,0.0,0.0,78.0,51,0.0,1.0,0.0,0.0,0.0,0.0
3/10/2000,10,3,2000,0.01,0.0,74.0,43,0.0,0.0,0.0,0.0,0.0,0.0
3/11/2000,11,3,2000,0.0,0.0,47.0,33,0.0,0.0,0.0,0.0,0.0,0.0
3/12/2000,12,3,2000,0.52,0.0,43.0,35,0.0,0.0,0.0,0.0,0.0,0.0
3/13/2000,13,3,2000,0.0,0.0,37.0,25,0.0,0.0,0.0,0.0,0.0,0.0
3/14/2000,14,3,2000,0.0,0.0,48.0,25,0.0,0.0,0.0,0.0,0.0,0.0
3/15/2000,15,3,2000,0.0,0.0,55.0,32,0.0,0.0,0.0,0.0,0.0,0.0
3/16/2000,16,3,2000,0.0,0.0,68.0,37,0.0,0.0,0.0,0.0,0.0,0.0
3/17/2000,17,3,2000,0.52,0.0,59.0,30,0.0,0.0,0.0,0.0,0.0,0.0
3/18/2000,18,3,2000,0.0,0.0,36.0,18,0.0,0.0,0.0,0.0,0.0,0.0
3/19/2000,19,3,2000,0.0,0.0,42.0,19,0.0,0.0,0.0,0.0,0.0,0.0
3/20/2000,20,3,2000,0.0,0.0,41.0,29,0.0,0.0,0.0,0.0,0.0,0.0
3/21/2000,21,3,2000,0.11,0.0,47.0,36,1.0,0.0,0.0,0.0,0.0,0.0
3/22/2000,22,3,2000,0.84,0.0,40.0,37,1.0,0.0,0.0,0.0,0.0,0.0
3/23/2000,23,3,2000,0.0,0.0,50.0,37,0.0,0.0,0.0,0.0,0.0,0.0
3/24/2000,24,3,2000,0.0,0.0,55.0,33,1.0,0.0,0.0,0.0,0.0,0.0
3/25/2000,25,3,2000,0.0,0.0,66.0,33,0.0,1.0,0.0,0.0,0.0,0.0
3/26/2000,26,3,2000,0.0,0.0,73.0,43,0.0,0.0,0.0,0.0,0.0,0.0
3/27/2000,27,3,2000,0.0,0.0,58.0,31,0.0,0.0,0.0,0.0,0.0,0.0
3/28/2000,28,3,2000,0.12,0.0,58.0,34,0.0,0.0,0.0,0.0,0.0,0.0
3/29/2000,29,3,2000,0.0,0.0,50.0,40,0.0,0.0,0.0,0.0,0.0,0.0
3/30/2000,30,3,2000,0.0,0.0,44.0,36,0.0,0.0,0.0,0.0,0.0,0.0
3/31/2000,31,3,2000,0.0,0.0,51.0,26,0.0,0.0,0.0,0.0,0.0,0.0
4/1/2000,1,4,2000,0.0,0.0,58.0,28,0.0,0.0,0.0,0.0,0.0,0.0
4/2/2000,2,4,2000,0.0,0.0,68.0,37,0.0,0.0,0.0,0.0,0.0,0.0
4/3/2000,3,4,2000,0.03,0.0,59.0,53,0.0,0.0,0.0,0.0,0.0,0.0
4/4/2000,4,4,2000,0.74,0.0,72.0,54,0.0,0.0,0.0,0.0,0.0,0.0
4/5/2000,5,4,2000,0.07,0.0,55.0,29,0.0,0.0,0.0,0.0,0.0,0.0
4/6/2000,6,4,2000,0.02,0.0,47.0,30,0.0,1.0,0.0,1.0,0.0,0.0
4/7/2000,7,4,2000,0.0,0.0,68.0,36,0.0,0.0,0.0,0.0,0.0,0.0
4/8/2000,8,4,2000,0.0,0.0,54.0,40,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2000,9,4,2000,0.59,0.8,65.0,27,0.0,0.0,0.0,0.0,0.0,0.0
4/10/2000,10,4,2000,0.0,0.0,48.0,29,0.0,0.0,0.0,0.0,0.0,0.0
4/11/2000,11,4,2000,0.0,0.0,51.0,32,0.0,0.0,1.0,0.0,0.0,0.0
4/12/2000,12,4,2000,0.05,0.0,48.0,35,0.0,0.0,0.0,0.0,0.0,0.0
4/13/2000,13,4,2000,0.0,0.0,44.0,25,0.0,0.0,0.0,0.0,0.0,0.0
4/14/2000,14,4,2000,0.0,0.0,52.0,32,0.0,0.0,0.0,0.0,0.0,0.0
4/15/2000,15,4,2000,0.0,0.0,65.0,39,0.0,0.0,0.0,0.0,0.0,0.0
4/16/2000,16,4,2000,0.0,0.0,75.0,51,0.0,0.0,0.0,0.0,0.0,0.0
4/17/2000,17,4,2000,0.35,0.0,80.0,44,0.0,1.0,0.0,0.0,0.0,0.0
4/18/2000,18,4,2000,0.37,0.0,47.0,39,0.0,0.0,0.0,0.0,0.0,0.0
4/19/2000,19,4,2000,0.56,0.0,43.0,39,0.0,0.0,0.0,0.0,0.0,0.0
4/20/2000,20,4,2000,0.0,0.0,60.0,43,0.0,0.0,0.0,0.0,0.0,0.0
4/21/2000,21,4,2000,0.37,0.0,63.0,49,0.0,1.0,0.0,0.0,0.0,0.0
4/22/2000,22,4,2000,0.52,0.0,53.0,44,0.0,0.0,0.0,0.0,0.0,0.0
4/23/2000,23,4,2000,0.33,0.0,49.0,41,0.0,0.0,0.0,0.0,0.0,0.0
4/24/2000,24,4,2000,0.0,0.0,51.0,36,0.0,0.0,0.0,0.0,0.0,0.0
4/25/2000,25,4,2000,0.0,0.0,67.0,42,0.0,0.0,0.0,0.0,0.0,0.0
4/26/2000,26,4,2000,0.0,0.0,64.0,37,0.0,0.0,0.0,0.0,0.0,0.0
4/27/2000,27,4,2000,0.0,0.0,59.0,40,0.0,0.0,0.0,0.0,0.0,0.0
4/28/2000,28,4,2000,0.02,0.0,57.0,42,0.0,0.0,0.0,0.0,0.0,0.0
4/29/2000,29,4,2000,0.0,0.0,63.0,42,0.0,0.0,0.0,0.0,0.0,0.0
4/30/2000,30,4,2000,0.0,0.0,71.0,45,0.0,0.0,0.0,0.0,0.0,0.0
6/1/2000,1,6,2000,0.0,0.0,78.0,54,0.0,0.0,0.0,0.0,0.0,0.0
